"Date","Documentno","Documenttype","Accountno","Grossamount","JournalNo","Dimension_One","Dimension_Two","Currency","Datewhenpaid"
"12/18/2018 12:00:00 AM","Rct568              ","12","Dr535               ","-1000000","Jv10569             ","","","KES",""
"12/20/2018 12:00:00 AM","Rct570              ","12","Dr470683            ","-849470.75","Jv10582             ","","","KES",""
"12/21/2018 12:00:00 AM","INV723              ","10","Dr471               ","450974.94","Jv10588             ","          ","          ","KES","1/14/2019 12:00:00 AM"
"11/23/2018 12:00:00 AM","Rct571              ","12","Dr330681            ","-83720","Jv10621             ","","","KES",""
"12/27/2018 12:00:00 AM","Rct572              ","12","Dr470683            ","-849470.75","Jv10635             ","","","KES",""
"1/4/2019 12:00:00 AM","Rct573              ","12","Dr470683            ","-849470.75","Jv10636             ","","","KES",""
"7/16/2018 12:00:00 AM","Rct574              ","12","Dr547               ","-140000","Jv10659             ","","","KES",""
"1/10/2019 12:00:00 AM","INV724              ","10","Dr470683            ","1285000","Jv10724             ","          ","          ","KES","2/7/2019 12:00:00 AM"
"1/10/2019 12:00:00 AM","Rct575              ","12","Dr471               ","-427648.65","Jv10726             ","","","KES",""
"1/10/2019 12:00:00 AM","1936                ","0","Dr471               ","-23326.29","Jv10727             ","B01       ","          ","KES",""
"1/8/2019 12:00:00 AM","INV725              ","10","Dr547               ","223184","Jv10823             ","          ","          ","KES","1/25/2019 12:00:00 AM"
"1/9/2019 12:00:00 AM","Rct576              ","12","Dr547               ","-240000","Jv10832             ","","","KES",""
"1/15/2019 12:00:00 AM","INV726              ","10","Dr480684            ","27000","Jv10859             ","          ","          ","KES","1/15/2019 12:00:00 AM"
"1/15/2019 12:00:00 AM","Rct577              ","12","Dr480684            ","-27000","Jv10860             ","","","KES",""
"1/16/2019 12:00:00 AM","INV727              ","10","Dr471               ","690200","Jv10863             ","          ","          ","KES","1/23/2019 12:00:00 AM"
"1/15/2019 12:00:00 AM","INV728              ","10","Dr457               ","777000","Jv10869             ","          ","          ","KES","5/6/2019 12:00:00 AM"
"1/17/2019 12:00:00 AM","INV729              ","10","Dr190672            ","207033.75","Jv10887             ","          ","          ","KES","8/17/2020 12:00:00 AM"
"1/17/2019 12:00:00 AM","INV730              ","10","Dr190672            ","111135","Jv10890             ","          ","          ","KES","8/17/2020 12:00:00 AM"
