"entryno","documenttype","docdate","documentno","locationcode","stocktype","code","description","unitofmeasure","Quantity","Quantity_toinvoice","Qunatity_delivered","UnitPrice","vatamount","invoiceamount","completed","printed","containerprice","containersunits","totalchargedcontainers","containercode","vatrate","inclusive","UOM","shipping","PriceInPricelist","Increase","PartPerUnit","modified","Qunatity_replaced","packagescharge"
"1576873","1","3/28/2022 12:00:00 AM","SO.2881","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","7.00","","7.00","16810.35","18827.59","136500.01","","","0.00","7","0.00","S.15","16.00","False","","","14000","2810.35","200","7","",""
"1576874","16","3/28/2022 12:00:00 AM","SL624","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","7.00","","","16810.35","18827.59","136500.01","","","0.00","7","0.00","S.15","16.00","False","","","14000","2810.35","200","","",""
"1576875","19","3/28/2022 12:00:00 AM","PL2374","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","7.00","","","16810.35","18827.59","136500.01","","","0.00","7","0.00","S.15","16.00","False","","","14000","2810.35","200","","",""
"1576896","1","3/29/2022 12:00:00 AM","SO.2886","","","S.7","K1-70  Emulsion (70% bidder content)              ","Drums     ","15.00","","15.00","17000.00","40800.00","295800.00","","","0.00","15","0.00","S.15","16.00","False","","","15000","2000","200","15","",""
"1576877","10","3/28/2022 12:00:00 AM","INV.2357","","","S.6","K1-60 Emulsion (60% bidder content)               ","Drums     ","7.00","","","16810.35","18828.00","136500.00","","","","","0.00","S.15","16.00","False","","0","14000","2810.35","200","","",""
"1576878","1","3/28/2022 12:00:00 AM","SO.2883","","","S.136","BLOWN BITUMEN 115/15                              ","kgs       ","100.00","","","400.00","6400.00","46400.00","","","0.00","0","0.00","","16.00","False","","","250","150","1","","",""
"1576879","1","3/28/2022 12:00:00 AM","SO.2884","","","S.136","BLOWN BITUMEN 115/15                              ","kgs       ","100.00","","100.00","400.00","6400.00","46400.00","","","0.00","100","0.00","","16.00","False","","","250","150","1","","",""
"1576880","16","3/28/2022 12:00:00 AM","SL625","","","S.136","BLOWN BITUMEN 115/15                              ","kgs       ","100.00","","","400.00","6400.00","46400.00","","","0.00","100","0.00","","16.00","False","","","250","150","1","","",""
"1576881","1","3/28/2022 12:00:00 AM","SO.2885","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","8.00","","8.00","3879.31","4965.52","36000.00","","","0.00","8","0.00","S.90","16.00","False","","","3707","172.31","20","8","",""
"1576882","1","3/28/2022 12:00:00 AM","SO.2885","","","S.60166","BITUSHIELD TYPE. 3                                ","bucket    ","7.00","","7.00","3879.31","4344.83","31500.00","","","0.00","7","0.00","S.90","16.00","False","","","3275.8","603.51","20","7","",""
"1576883","1","3/28/2022 12:00:00 AM","SO.2885","","","S.103","BITUSHIELD TYPE 5                                 ","Tins      ","4.00","","4.00","948.28","606.90","4400.00","","","0.00","4","0.00","S.93","16.00","False","","","1500","-551.72","4","4","",""
"1576884","16","3/28/2022 12:00:00 AM","SL626","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","8.00","","","3879.31","4965.52","36000.00","","","0.00","8","0.00","S.90","16.00","False","","","3707","172.31","20","","",""
"1576885","16","3/28/2022 12:00:00 AM","SL626","","","S.103","BITUSHIELD TYPE 5                                 ","Tins      ","4.00","","","948.28","606.90","4400.00","","","0.00","4","0.00","S.93","16.00","False","","","1500","-551.72","4","","",""
"1576886","16","3/28/2022 12:00:00 AM","SL626","","","S.60166","BITUSHIELD TYPE. 3                                ","bucket    ","7.00","","","3879.31","4344.83","31500.00","","","0.00","7","0.00","S.90","16.00","False","","","3275.8","603.51","20","","",""
"1576887","19","3/28/2022 12:00:00 AM","PL2375","","","S.103","BITUSHIELD TYPE 5                                 ","bucket    ","8.00","","","3879.31","4965.52","36000.00","","","0.00","8","0.00","S.90","16.00","False","","","3707","172.31","20","","",""
"1576888","19","3/28/2022 12:00:00 AM","PL2375","","","S.103","BITUSHIELD TYPE 5                                 ","Tins      ","4.00","","","948.28","606.90","4400.00","","","0.00","4","0.00","S.93","16.00","False","","","1500","-551.72","4","","",""
