"itemcode","StockIn","cost","StockOut","StockBalance","rowid","journal","GRN","PartPerUnit"
"S.6                 ","3500","37.1","3500","0","20064","Jv6429              ","B/No165             ",""
"S.9                 ","15000","33.33","15000","0","63","Jv6236              ","B/No163             ",""
"S.162               ","26390","51.7241208791209","26390","0","64","Jv6300              ","LPO259              ",""
"S.6                 ","10000","37.94","10000","0","10064","Jv6317              ","B/No164             ",""
"S.10162             ","1","3500","1","0","20065","Jv6502              ","LPO261              ",""
"S.162               ","26390","51.72","26390","0","20066","Jv6540              ","LPO262              ",""
"S.13                ","8000","72.5","0","8000","20067","Jv6578              ","LPO265              ",""
"S.13                ","8000","70.5","0","8000","20068","Jv6589              ","WRK179              ",""
"S.8                 ","48","51.72","15","33","20069","Jv6590              ","WRK180              ",""
"S.8                 ","8736","51.72","0","8736","20070","Jv6591              ","WRK181              ",""
"S.9                 ","22000","56.2","22000","0","20071","Jv6592              ","B/No166             ",""
"S.15                ","50","1050","50","0","20072","Jv6603              ","LPO266              ",""
"S.15                ","80","1050","80","0","20073","Jv6607              ","LPO267              ",""
"S.15                ","98","1050","98","0","20074","Jv6609              ","LPO268              ",""
"S.6                 ","5000","43.35","5000","0","20075","Jv6628              ","B/No167             ",""
"S.15                ","120","900","120","0","20076","Jv6630              ","LPO271              ",""
"S.162               ","26390","51.7241208791209","26390","0","20077","Jv6697              ","LPO274              ",""
"S.8                 ","45","51.72","0","45","30077","Jv6714              ","WRK182              ",""
"S.7                 ","6000","35.37","6000","0","30078","Jv6715              ","B/No168             ",""
"S.6                 ","3300","61.68","3300","0","30079","Jv6716              ","B/No169             ",""
"S.15                ","40","850","40","0","40077","Jv6774              ","LPO279              ",""
"S.120               ","12444","50","12444","0","50077","Jv6801              ","LPO281              ",""
"S.13                ","7000","73","0","7000","60077","Jv6875              ","LPO282              ",""
"S.13                ","6500","70.5","0","6500","60078","Jv6890              ","WRK183              ",""
"S.8                 ","45","54.47","0","45","60079","Jv6891              ","WRK184              ",""
"S.9                 ","15400","60.22","15400","0","60080","Jv6892              ","B/No170             ",""
"S.6                 ","2000","29.81","2000","0","60081","Jv6897              ","B/No171             ",""
"S.120               ","17385","50","17385","0","70077","Jv6915              ","LPO284              ",""
"S.8                 ","45","50","0","45","70078","Jv6917              ","WRK185              ",""
"S.9                 ","5000","56.97","5000","0","70079","Jv6918              ","B/No172             ",""
"S.17                ","440000","0.038","0","440000","80078","Jv6932              ","LPO285              ",""
"S.8                 ","48","50","0","48","80079","Jv6943              ","WRK186              ",""
"S.6                 ","10500","32.86","10500","0","80080","Jv6948              ","B/No173             ",""
"S.13                ","2800","74","0","2800","80081","Jv6969              ","LPO286              ",""
"S.13                ","1000","75","0","1000","80082","Jv7032              ","LPO287              ",""
"S.13                ","5000","74","0","5000","90078","Jv7072              ","LPO288              ",""
"S.120               ","26535","50","26535","0","100078","Jv7215              ","LPO289              ",""
"S.13                ","10000","74","0","10000","110078","Jv7221              ","LPO290              ",""
"S.87                ","400","155.6","0","400","110079","Jv7259              ","LPO291              ",""
"S.87                ","10","258.62","0","10","110080","Jv7259              ","LPO291              ",""
"S.144               ","400","206.9","0","400","110081","Jv7259              ","LPO291              ",""
"S.144               ","10","275.86","0","10","110082","Jv7259              ","LPO291              ",""
"S.13                ","8000","74","0","8000","110083","Jv7265              ","LPO292              ",""
"S.8                 ","47","50","0","47","110084","Jv7266              ","WRK187              ",""
"S.8                 ","45","50","0","45","110085","Jv7267              ","WRK188              ",""
"S.8                 ","46","50","0","46","110086","Jv7268              ","WRK189              ",""
"S.13                ","10000","70.5","0","10000","110087","Jv7269              ","WRK190              ",""
"S.9                 ","17000","94.41","17000","0","110088","Jv7270              ","B/No174             ",""
"S.8                 ","48","50","0","48","120078","Jv7350              ","WRK191              ",""
"S.13                ","10000","70.5","0","10000","120079","Jv7351              ","WRK192              ",""
"S.9                 ","14500","61.14","14500","0","120080","Jv7352              ","B/No175             ",""
